act_arm_one,act_arm_two,act_arm_three,act_arm_four,act_arm_five,act_arm_six,act_arm_seven
5.450416714052673806e-01,4.836236148389562728e-01,4.286143655661051044e-01,8.840550670490524565e-01,4.777397285112013336e-01,3.978360056493128183e-01,4.476006759827491632e-01
5.454529452293304104e-01,4.832347519572264272e-01,4.279069626517629787e-01,8.860102664345254064e-01,4.771238735608307469e-01,3.978620285934070244e-01,4.478497351345062660e-01
5.457422273600478491e-01,4.829981126060106655e-01,4.273566463808664007e-01,8.876975330607940196e-01,4.764606742863164435e-01,3.983086183799970370e-01,4.483937137272338003e-01
5.459089763993221212e-01,4.829196564750628529e-01,4.272451882312083282e-01,8.871753223921711173e-01,4.761743926111174363e-01,3.990543705279275821e-01,4.491001324733782107e-01
5.460986715902204081e-01,4.829468326530684807e-01,4.270970437852175117e-01,8.866191397404989960e-01,4.755229328284583112e-01,4.010727872901830859e-01,4.507173446912156600e-01
5.463744336109819244e-01,4.828816786953828433e-01,4.270646192431321042e-01,8.865150978867299969e-01,4.750606690326180659e-01,4.044255156004450402e-01,4.521656212344887238e-01
5.465959923880681082e-01,4.827842743322364183e-01,4.265434122241859582e-01,8.860052297180338599e-01,4.748478323300475701e-01,4.050528336117253381e-01,4.514651851197210020e-01
5.467987009559290845e-01,4.826218167843611129e-01,4.260057198579589866e-01,8.860696801494397645e-01,4.737946087425132791e-01,4.067601868650288499e-01,4.513384228968382872e-01
5.470045676260427703e-01,4.826812564850645471e-01,4.258033901939532462e-01,8.851354067520749158e-01,4.728156416298504583e-01,4.120099244401925764e-01,4.514165413273748539e-01
5.471334468195029332e-01,4.826989141304314779e-01,4.256982776401284085e-01,8.842347441151676701e-01,4.726896985066948997e-01,4.151858575877352964e-01,4.505920515908969359e-01
5.471118044775846734e-01,4.828807435789893576e-01,4.257942941293742511e-01,8.826773565613789119e-01,4.735423825204387871e-01,4.159486186202503433e-01,4.495340400831295824e-01
5.474237831662261966e-01,4.831814473275872213e-01,4.253150785461861094e-01,8.798224306076959378e-01,4.750469463639130918e-01,4.150037170219727511e-01,4.478996062479757567e-01
5.474237831662261966e-01,4.831814473275872213e-01,4.253150785461861094e-01,8.798224306076959378e-01,4.750469463639130918e-01,4.150037170219727511e-01,4.478996062479757567e-01
