arm_one,arm_two,arm_three,arm_four,arm_five,arm_six,arm_seven,drink_x,drink_y,drink_z,hand_x,hand_y,hand_z
5.408995454324537766e-01,5.151789596930221871e-01,4.816003072130019547e-01,8.619715496930692167e-01,5.221201136505998486e-01,4.554081097304797376e-01,5.132791933775542326e-01,8.001620753903438965e-01,8.096934322663361661e-01,5.050227878322052777e-02,7.207784453490068133e-01,8.047978088365348448e-01,1.681787399133954364e-01
5.426883546708390904e-01,5.156003431306865892e-01,4.812849330558434668e-01,8.469648969365284330e-01,5.232459767082188185e-01,4.538821282960277537e-01,5.130033105757481060e-01,8.001620753903438965e-01,8.096934341515031885e-01,5.050227878322052777e-02,7.240516872013467164e-01,8.004079881320256273e-01,1.656764709719863171e-01
5.449939929463132327e-01,5.155450030981920673e-01,4.811142924108630092e-01,8.238532156343678636e-01,5.176627187185705026e-01,4.532661748340575669e-01,5.142131210794493867e-01,8.001620753903438965e-01,8.096934353576326071e-01,5.050227878322052083e-02,7.283899141373549879e-01,7.921814245564331447e-01,1.646574864437444496e-01
5.471849673014107518e-01,5.146936719501210566e-01,4.822718000881427991e-01,8.195055100225466793e-01,5.151837975671748060e-01,4.513517929365250536e-01,5.129645209156526997e-01,8.001620753903438965e-01,8.096934361293138815e-01,5.050227878322052777e-02,7.329882260785324233e-01,7.956090011557923614e-01,1.699742408881614597e-01
5.495370917376056763e-01,5.148316983389545909e-01,4.826880531401293584e-01,8.130851694022416254e-01,5.148214451956467652e-01,4.518563256961715680e-01,5.143382823341240417e-01,8.001620753903438965e-01,8.096934366230353897e-01,5.050227878322052083e-02,7.373547789818404308e-01,7.989342057124206864e-01,1.705978599712628385e-01
5.522538207380753850e-01,5.155576319646539840e-01,4.817345363969095517e-01,8.003704063530359125e-01,5.080479648732014741e-01,4.530201523531858787e-01,5.164713984818726233e-01,8.001620753903438965e-01,8.096934369389182651e-01,5.050227878322052083e-02,7.418146542604346916e-01,7.999116552194517338e-01,1.660146278249790552e-01
5.551624068081886243e-01,5.157077507852597664e-01,4.817282816687198377e-01,7.913431110398484458e-01,5.084418288447470902e-01,4.544220680479609809e-01,5.179713409960958748e-01,8.001620753903438965e-01,8.096934371410199338e-01,5.050227878322052083e-02,7.469937853737902422e-01,8.033756091238397623e-01,1.652661370151338738e-01
5.571945945698942859e-01,5.160882627071904372e-01,4.808878552515152838e-01,7.796467335510397501e-01,5.088311281632221794e-01,4.545355193991703069e-01,5.179065503572540807e-01,8.001620753903438965e-01,8.096934372703246119e-01,5.050227878322052083e-02,7.502577576200291087e-01,8.024094862874115996e-01,1.616173115247888925e-01
5.587155118008714227e-01,5.171300344420267647e-01,4.804595643958705087e-01,7.673229463375775827e-01,5.102447443976584340e-01,4.548259440013284194e-01,5.176333535761571403e-01,8.001620753903438965e-01,8.096934373530536577e-01,5.050227878322052083e-02,7.526205326161079512e-01,7.995698908360548973e-01,1.571016076935645711e-01
5.603485673444107418e-01,5.174125397748364774e-01,4.811675015016639301e-01,7.585056309883092540e-01,5.116693380339873976e-01,4.550573947203576108e-01,5.172950623123909741e-01,8.001620753903438965e-01,8.096934374059836514e-01,5.050227878322051389e-02,7.557424373966861175e-01,7.989473730877517665e-01,1.576899960209149076e-01
5.622740995413723075e-01,5.173809661920099057e-01,4.818008691527566612e-01,7.487919992929932267e-01,5.129001266416112204e-01,4.548608461635486599e-01,5.165098463831719888e-01,8.001620753903438965e-01,8.096934374398483403e-01,5.050227878322051389e-02,7.593719127363914856e-01,7.986000260640899739e-01,1.589721661518707641e-01
5.644290879233828662e-01,5.171587811585300898e-01,4.826476556092506032e-01,7.428162481414858354e-01,5.140744118511489935e-01,4.547545386207721418e-01,5.154468080643515027e-01,8.001620753903438965e-01,8.096934374615148977e-01,5.050227878322051389e-02,7.635285174774006922e-01,8.014638369361164472e-01,1.614962991724672725e-01
5.656755203715861935e-01,5.174533990698119146e-01,4.823842463075551090e-01,7.362114243233354172e-01,5.143092204318343574e-01,4.545152245813942060e-01,5.145617713870517251e-01,8.001620753903438965e-01,8.096934374753772534e-01,5.050227878322051389e-02,7.655333149355105782e-01,8.013284563395473015e-01,1.597302844807833300e-01
5.666366631817525423e-01,5.176832176797595553e-01,4.823361661292804303e-01,7.288055540836914092e-01,5.152871885099683524e-01,4.546350227779845654e-01,5.141634345149278529e-01,8.001620753903438965e-01,8.096934374842463811e-01,5.050227878322051389e-02,7.671215223910211600e-01,7.995811444187979067e-01,1.586120185555396633e-01
5.681598521933366452e-01,5.178721901477705281e-01,4.822537959692973497e-01,7.163955496196086070e-01,5.167463736924930995e-01,4.550394742792913116e-01,5.138099914597644702e-01,8.001620753903438965e-01,8.096934374899208420e-01,5.050227878322050695e-02,7.696144974654928195e-01,7.963066378485171848e-01,1.573232388812632609e-01
5.700686069996718786e-01,5.178985859712761375e-01,4.821082939115998167e-01,7.066998918220149806e-01,5.173243446771961240e-01,4.557887615262094516e-01,5.138372758352167669e-01,8.001620753903438965e-01,8.096934374935512713e-01,5.050227878322050695e-02,7.728334001716403723e-01,7.961644867491569633e-01,1.565140889969149629e-01
5.725553325003956973e-01,5.189270560641610075e-01,4.816176734460608788e-01,6.865177469881849071e-01,5.143040128037827952e-01,4.564008702854045474e-01,5.145440205803361033e-01,8.001620753903438965e-01,8.096934374958740799e-01,5.050227878322051389e-02,7.764222072044505429e-01,7.917362873401410095e-01,1.515320303520009126e-01
5.741905369226509848e-01,5.201295719088335767e-01,4.818922983654119196e-01,6.759224742282597953e-01,5.136006349974381324e-01,4.556111446007906629e-01,5.135719356259355051e-01,8.001620753903438965e-01,8.096934374973602244e-01,5.050227878322051389e-02,7.788710966170958594e-01,7.908321353052703007e-01,1.480492758241217233e-01
5.750970624326489089e-01,5.214148149262679555e-01,4.817173446555363947e-01,6.686239671464956347e-01,5.136339456675440562e-01,4.552760703368192163e-01,5.133324388534160621e-01,8.001620753903438965e-01,8.096934374983110194e-01,5.050227878322051389e-02,7.798231183703943081e-01,7.898306412562362544e-01,1.432566750133727751e-01
5.754814902992739789e-01,5.221291590884449274e-01,4.811039537665611210e-01,6.630570024628523740e-01,5.137729863945608155e-01,4.547324274302010916e-01,5.128425154120948015e-01,8.001620753903438965e-01,8.096934374989193106e-01,5.050227878322051389e-02,7.798312231305483122e-01,7.879178903413572854e-01,1.392724060609193959e-01
5.759571803953340563e-01,5.227098406367315375e-01,4.806170198269228422e-01,6.580368243625959179e-01,5.140420145385985462e-01,4.544328163845789414e-01,5.126978160093986769e-01,8.001620753903438965e-01,8.096934374993085548e-01,5.050227878322051389e-02,7.800938743943517384e-01,7.866098985965594981e-01,1.360529768458018374e-01
5.761165883849550529e-01,5.232676339419339850e-01,4.799890338305294879e-01,6.551764429378916788e-01,5.141896056940452597e-01,4.539662285171204292e-01,5.122899784661985034e-01,8.001620753903438965e-01,8.096934374995575778e-01,5.050227878322051389e-02,7.798005389133165766e-01,7.856757216231604612e-01,1.326773942149777064e-01
5.762158549340234970e-01,5.238251144449790342e-01,4.794999058918711365e-01,6.510969259266105036e-01,5.139235277009431835e-01,4.533525753088787358e-01,5.120201211050255941e-01,8.001620753903438965e-01,8.096934374997168948e-01,5.050227878322051389e-02,7.793738361153579319e-01,7.837322988790271783e-01,1.295834243598814606e-01
5.762250967853046468e-01,5.244433366544789532e-01,4.792651216738244013e-01,6.484936079963847799e-01,5.130140323930664215e-01,4.522703344991834129e-01,5.115584429447225245e-01,8.001620753903438965e-01,8.096934374998188133e-01,5.050227878322050695e-02,7.789340573443643834e-01,7.825279767287156574e-01,1.269836997954850721e-01
5.765195597898628010e-01,5.249965224578000411e-01,4.790484145749540623e-01,6.465214725061432244e-01,5.131849243212802669e-01,4.511666154269058371e-01,5.111184014832721445e-01,8.001620753903438965e-01,8.096934374998839834e-01,5.050227878322050695e-02,7.790605190485967446e-01,7.827167771555201270e-01,1.246315899472309197e-01
5.769171468341802722e-01,5.255811270747011710e-01,4.789956223740168828e-01,6.449492818634896540e-01,5.135623803472427751e-01,4.505786621806340264e-01,5.112889407187473090e-01,8.001620753903438965e-01,8.096934374999257278e-01,5.050227878322050001e-02,7.794616070027954313e-01,7.835426914794005882e-01,1.225662761493892944e-01
5.772064715279436875e-01,5.259620512566068884e-01,4.788050417533582515e-01,6.421633190762446874e-01,5.138891478283031944e-01,4.500157815438575182e-01,5.115379990681572231e-01,8.001620753903438965e-01,8.096934374999524842e-01,5.050227878322050001e-02,7.796090579048029490e-01,7.830388764036866345e-01,1.207905559006616364e-01
5.779022655178059908e-01,5.257725928858451026e-01,4.792175615361441987e-01,6.392311221037314528e-01,5.144782927221490665e-01,4.495305395301352758e-01,5.117992289603804368e-01,8.001620753903438965e-01,8.096934374999695816e-01,5.050227878322050001e-02,7.810041935070219932e-01,7.833057731198947993e-01,1.222552004470679188e-01
5.785837549622409037e-01,5.256659647058352647e-01,4.791079540584857743e-01,6.344692517704517698e-01,5.150009662757509821e-01,4.488991020016551148e-01,5.118844649293834426e-01,8.001620753903438965e-01,8.096934374999805728e-01,5.050227878322050695e-02,7.820042760094029211e-01,7.824312789409809676e-01,1.221751605348255776e-01
5.790514262351937891e-01,5.258577608221135513e-01,4.789930618565699794e-01,6.309121558855752543e-01,5.153878610120827819e-01,4.482229829339280380e-01,5.119784004494279950e-01,8.001620753903438965e-01,8.096934374999875672e-01,5.050227878322050695e-02,7.825611478374860930e-01,7.818430752012486273e-01,1.211705455553118149e-01
5.795212059135513849e-01,5.261975006779457953e-01,4.789899422014424202e-01,6.269681460926739280e-01,5.157853325877688189e-01,4.476054759835006447e-01,5.120094441414393405e-01,8.001620753903438965e-01,8.096934374999920081e-01,5.050227878322050001e-02,7.830732439945393697e-01,7.810985050219617642e-01,1.198896971962063740e-01
5.802846327220378964e-01,5.264686517963557133e-01,4.789416908471546552e-01,6.225667897629586500e-01,5.159601975938714613e-01,4.472222199060454928e-01,5.122619469993456853e-01,8.001620753903438965e-01,8.096934374999947837e-01,5.050227878322050001e-02,7.841062174478735658e-01,7.810518983925025527e-01,1.187204651147523854e-01
5.813664666762995425e-01,5.267162781340722910e-01,4.790753762787221537e-01,6.177855807649393904e-01,5.166598751233406617e-01,4.468001636038517743e-01,5.124709994067333518e-01,8.001620753903438965e-01,8.096934374999965600e-01,5.050227878322050001e-02,7.857930601596951892e-01,7.818300927726884453e-01,1.180342313911400404e-01
5.820956257672513789e-01,5.264489922182002957e-01,4.793258459810126881e-01,6.150381204835992932e-01,5.167757993343499168e-01,4.463621698526904491e-01,5.126016045520633835e-01,8.001620753903438965e-01,8.096934374999977813e-01,5.050227878322050001e-02,7.872214057190064507e-01,7.823272223009283266e-01,1.194074041907691591e-01
5.825488409575295679e-01,5.263194816375394991e-01,4.797496096288292877e-01,6.122479804067770814e-01,5.169335400602167452e-01,4.462671955005996782e-01,5.131990713370424562e-01,8.001620753903438965e-01,8.096934374999985584e-01,5.050227878322050001e-02,7.881612219265208275e-01,7.818845889677685790e-01,1.207204207485459146e-01
5.830420102408764294e-01,5.269209659903711929e-01,4.802467546577918189e-01,6.081425877535248103e-01,5.170793218299285510e-01,4.456615064677589277e-01,5.131679959354352727e-01,8.001613342618928426e-01,8.097157058946685693e-01,5.050286793556616610e-02,7.885986081924913904e-01,7.815351512434325354e-01,1.196908162026718153e-01
5.832957127891742477e-01,5.271235433549308347e-01,4.802131665768729629e-01,6.065394991397670132e-01,5.167893067582027822e-01,4.451987003060439707e-01,5.132412529213844499e-01,8.001612682992950143e-01,8.097524926818757685e-01,5.050294081503017146e-02,7.888525411561975176e-01,7.815400220146926369e-01,1.189509005952063270e-01
5.834441456670557136e-01,5.272602879572418910e-01,4.800204670533231299e-01,6.048190832337113632e-01,5.164879543703568832e-01,4.446278180414894310e-01,5.132396364538012179e-01,8.001613679103717347e-01,8.097794725796907400e-01,5.050303774087936542e-02,7.886989629526051093e-01,7.813588535185049810e-01,1.180895278481246813e-01
5.836828046408906179e-01,5.275981528763711292e-01,4.792395473989131682e-01,6.029918120290131966e-01,5.163993078310377127e-01,4.437530896049703411e-01,5.129315977522849179e-01,8.001613758398979925e-01,8.098116130054805462e-01,5.050306653618472086e-02,7.884897409802709145e-01,7.814391519695822463e-01,1.152317239230238877e-01
5.840458542564040956e-01,5.277459162247910562e-01,4.781299817500937466e-01,6.017194056480918984e-01,5.161624522524327352e-01,4.420968260303423381e-01,5.119486434074860259e-01,8.001614280484310449e-01,8.098529711359682137e-01,5.050297044905348309e-02,7.886232892053273158e-01,7.820474441740683513e-01,1.123269742282563544e-01
5.843751091479368887e-01,5.277854674442906679e-01,4.772819895082683339e-01,6.000576044112972962e-01,5.159969444497424229e-01,4.410312218668748230e-01,5.116332344791280073e-01,8.001614303695114838e-01,8.098720807880660510e-01,5.050295442532075352e-02,7.887639339932250859e-01,7.822247209475783336e-01,1.103358988046868744e-01
